Year,ID1,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
2015,"Katy",".",29.920887,-95.920129,-9999,14.2,17.2,21.1,26.8,29.1,32.3,35,35.6,32.4,29.5,22.5,20.4,3.7,5.1,10.7,17.2,20,22.4,23.7,23,20.7,16,11.9,8.6,8.9,11.2,15.9,22,24.6,27.4,29.4,29.3,26.6,22.7,17.2,14.5,107,31,177,179,383,196,51,101,117,239,167,132,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015,"llano",".",30.4897,-99.7714,-9999,14,16.1,20.5,26.2,28,31.9,34.8,37,34.1,29.3,20,19,-0.9,1.6,5.8,12.6,16.5,19.6,21.3,20.5,18.4,12.9,7.2,1,6.6,8.9,13.2,19.4,22.2,25.7,28,28.7,26.3,21.1,13.6,10,52,19,79,90,215,112,41,61,25,163,102,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015,"lostP",".",30.179,-97.469,-9999,13.7,16.1,20.3,26.5,28.3,32.1,35.2,36.9,34.1,29.9,21.5,19.5,2.9,4.2,9.3,16.2,19.3,21.9,23.4,23,20.6,15.5,10.8,6.7,8.3,10.1,14.8,21.3,23.8,27,29.3,29.9,27.3,22.7,16.2,13.1,135,34,132,145,378,146,31,32,38,315,103,108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015,"ozona",".",30.71,-101.2,-9999,12.7,15.5,20.3,25.8,28,30.8,33.7,36.4,33,27.2,19.1,17.6,-1.5,0.7,4.6,11.3,15.7,19.3,21.2,20.8,18.6,12.8,6.6,0.3,5.6,8.1,12.5,18.5,21.9,25.1,27.4,28.6,25.8,20,12.8,8.9,49,11,81,45,131,72,22,23,29,151,57,38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015,"shsu",".",30.7233,-95.551,-9999,13.6,15.6,20,26.1,28.7,32.1,34.9,35.5,33,28.6,21.1,19,2.7,3.6,9.9,16,19.1,21.9,23.5,22.6,20.2,15.1,10.5,7.1,8.1,9.6,14.9,21,23.9,27,29.2,29.1,26.6,21.9,15.8,13.1,166,39,198,177,387,151,46,89,98,187,262,180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016,"Katy",".",29.920887,-95.920129,-9999,16.8,21.6,24.4,26.7,28.4,33.1,35.3,34,33.2,30.7,25.4,18.4,4.3,7.4,12.3,15,18.6,22.8,24.4,23.6,22.1,16.6,13.3,8.9,10.6,14.5,18.4,20.8,23.5,27.9,29.8,28.8,27.7,23.7,19.3,13.7,61,65,141,302,281,156,86,206,105,23,97,125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016,"llano",".",30.4897,-99.7714,-9999,15.8,21.4,23.4,25.6,28,32.2,36.5,33.7,31.6,28.9,22.2,16.2,-0.4,2.2,7.4,11,15.7,19.7,22.3,21.2,18.3,13,9.4,3.7,7.7,11.8,15.4,18.3,21.8,26,29.4,27.5,25,20.9,15.8,10,16,63,92,132,169,124,13,124,134,33,73,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016,"lostP",".",30.179,-97.469,-9999,16.4,21.4,24.1,26.3,28.4,33.3,36.4,33.9,32.8,30.2,24.4,17.2,3.4,6.7,11.6,14.2,18.1,22.2,24,23.3,21.4,16,12.8,7.5,9.9,14.1,17.8,20.2,23.2,27.8,30.2,28.6,27.1,23.1,18.6,12.3,37,63,134,241,245,126,54,223,96,25,127,126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016,"ozona",".",30.71,-101.2,-9999,14.4,20.1,22.8,25.6,28.1,32,35.7,33.2,30.6,28.1,20.9,15.9,-1.1,1.3,6.7,10.6,15.5,19.6,22.6,21.2,18.1,13.1,8.5,2.8,6.7,10.7,14.7,18.1,21.8,25.8,29.1,27.2,24.4,20.6,14.7,9.3,10,30,77,75,85,114,11,86,103,3,40,29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2016,"shsu",".",30.7233,-95.551,-9999,16.2,20.6,24,26.3,27.8,33,35.5,33.5,32.6,29.5,24.3,17.2,3.3,6,10.8,14.2,17.6,22.4,24,23.3,21.4,15.8,11.8,7.3,9.8,13.3,17.4,20.2,22.7,27.7,29.8,28.4,27,22.7,18,12.3,87,74,163,267,294,160,68,265,117,51,121,144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017,"Katy",".",29.920887,-95.920129,-9999,20.1,24,25,27.6,29.8,32.5,35.4,33.7,32.1,28.6,24.9,16.9,8.7,12.1,14.1,14.8,17.7,22.4,23.7,23.8,20.6,14.7,13,6,14.4,18,19.5,21.2,23.7,27.4,29.6,28.7,26.3,21.6,19,11.4,162,105,114,127,95,161,64,387,71,73,51,129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017,"llano",".",30.4897,-99.7714,-9999,18.5,22.6,24.5,26.4,29.9,33.6,36.1,33.5,32,27,23.4,16.2,2.2,5.9,10.2,11.9,14.5,19.6,21.2,20.5,17,10.3,7.9,1.6,10.3,14.3,17.3,19.2,22.2,26.6,28.6,27,24.5,18.7,15.7,8.9,54,62,49,75,93,75,61,127,97,22,28,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017,"lostP",".",30.179,-97.469,-9999,19.4,23.5,25,27.4,30,33.5,37.5,34.4,31.7,27.7,24.4,16.6,7,10.4,13.3,14.3,17.1,22.1,23.4,23.1,19.8,13.7,12.4,5,13.2,16.9,19.2,20.9,23.6,27.8,30.5,28.7,25.8,20.7,18.4,10.8,133,104,120,107,83,109,37,275,109,89,46,105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017,"ozona",".",30.71,-101.2,-9999,17.2,21.5,24.8,26.6,30.3,33.8,34.4,32.7,30.8,26.1,22.5,14.8,0.8,4.1,9.3,11.5,14.1,19.8,21,20.1,17.3,10.1,6.6,0.4,9,12.8,17.1,19,22.2,26.8,27.7,26.4,24.1,18.1,14.5,7.6,51,39,39,84,70,39,77,97,90,36,18,27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017,"shsu",".",30.7233,-95.551,-9999,18.8,23.3,24.1,26.9,28.9,32,34.8,32.7,31.7,27.2,23.7,15.5,7.5,10.6,12.7,14,16.6,21.6,23.4,23.4,19.8,13.7,11.8,4.3,13.2,16.9,18.4,20.4,22.7,26.8,29.1,28.1,25.7,20.4,17.8,9.9,189,124,92,145,196,151,105,400,89,95,76,129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
